epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.342771,0.153435,0.131127,0.995,0.9997,0.0001
2,0.160531,0.190861,0.164296,0.9,1.0,9.874639560909117e-05
3,0.066029,0.081673,0.049744,1.0,1.0,9.504844339512095e-05
4,0.065575,0.117074,0.090151,0.99,0.9976,8.90915741234015e-05
5,0.062472,0.078694,0.047882,1.0,1.0,8.117449009293668e-05
6,0.060018,0.079918,0.049356,1.0,1.0,7.169418695587791e-05
7,0.056772,0.068408,0.034803,1.0,1.0,6.112604669781572e-05
8,0.056385,0.066499,0.032044,1.0,1.0,5e-05
9,0.056338,0.071515,0.039041,1.0,1.0,3.887395330218429e-05
10,0.056297,0.066575,0.032234,1.0,1.0,2.8305813044122097e-05
11,0.05631,0.067479,0.033477,1.0,1.0,1.8825509907063327e-05
12,0.059905,0.069962,0.036967,1.0,1.0,1.0908425876598516e-05
13,0.056648,0.068246,0.034561,1.0,1.0,4.951556604879048e-06
