feature,importance_mean,importance_std
pack_utilization_scenario_mean,851.8,916.1979589586521
base_pred_stack_v005,246.0,261.83964558485025
diff__base_pred_stack_v005__pred_v021,227.0,200.922870773837
pred_stack_v003,213.8,268.7614183620856
pred_v013,204.8,215.95647709665946
layout_type,179.6,198.98567787657484
diff__base_pred_stack_v005__pred_v013,173.6,163.27829004494137
order_inflow_per_pack_station,172.0,204.80966774056347
pred_v021,162.4,191.32772930236746
low_battery_ratio_scenario_delta,150.4,215.28887569960506
manual_override_ratio_scenario_delta,144.8,192.34266297418262
diff__base_pred_stack_v005__pred_stack_v003,126.0,129.21493721702612
max_zone_density_scenario_delta,116.4,137.08501012145712
diff__pred_v021__pred_v013,103.0,128.52237159343116
battery_mean,95.6,116.31551917091716
diff__pred_stack_v003__pred_v013,90.4,120.19068183515725
diff__pred_v021__pred_stack_v003,77.4,102.0284274111877
congestion_score_scenario_delta,74.8,95.95415572032303
battery_mean_scenario_delta,38.4,57.85585536486346
order_inflow_15m_scenario_delta,26.8,45.46647116282503
pack_utilization_scenario_delta,26.2,52.49952380736419
forklift_active_count_scenario_delta,18.6,40.47591876659503
loading_dock_util_scenario_delta,8.8,19.677398201998148
avg_trip_distance_scenario_delta,7.8,14.737706741552431
shift_handover_delay_min_scenario_delta,3.6,8.049844718999243
