feature,importance_mean,importance_std
pack_utilization_scenario_mean,4833.4,3840.2702118470775
low_battery_ratio_scenario_delta,1359.4,1385.8503887505317
order_inflow_per_pack_station,1268.8,1312.600167606267
layout_type,1165.6,1031.1504739852473
pred_stack_v003,1161.8,1024.7268904444734
manual_override_ratio_scenario_delta,1112.8,1127.3347772511943
pred_v013,1043.2,952.1728834618217
diff__pred_v022__pred_stack_v005,995.2,988.6350185988761
max_zone_density_scenario_delta,975.0,1015.0926066128153
base_pred_v021,959.6,881.925336975869
battery_mean,942.0,985.920382181036
pred_stack_v005,911.0,745.7925314723929
congestion_score_scenario_delta,862.6,951.2440801392669
pred_v022,853.0,668.8041566856474
diff__pred_stack_v003__pred_v013,755.2,754.9040998696456
diff__base_pred_v021__pred_v013,751.6,780.7338214782296
diff__base_pred_v021__pred_v022,718.2,647.2327247598039
diff__base_pred_v021__pred_stack_v005,705.4,630.0085713702632
diff__pred_v022__pred_v013,660.6,578.4416997416421
diff__base_pred_v021__pred_stack_v003,607.4,633.0480234547771
diff__pred_stack_v005__pred_v013,600.6,615.9974025919265
forklift_active_count_scenario_delta,589.4,798.9335391633024
battery_mean_scenario_delta,578.6,708.4661600951734
pack_utilization_scenario_delta,555.6,687.7341782985633
diff__pred_v022__pred_stack_v003,548.4,557.9164812048484
diff__pred_stack_v005__pred_stack_v003,540.8,500.3071056860976
order_inflow_15m_scenario_delta,513.4,663.9731169256779
avg_trip_distance_scenario_delta,377.8,544.8166664117389
shift_handover_delay_min_scenario_delta,341.6,510.9768096499096
loading_dock_util_scenario_delta,324.0,486.50436791461595
