feature,importance_mean,importance_std
pred__lightgbm_v015_no_layout_id_core_holdout_log1p_adv_weighted,959.0,231.53833375922875
diff__pred__lightgbm_v014_no_layout_id_core_holdout_tuned_log1p__pred__lightgbm_v015_no_layout_id_core_holdout_log1p_adv_weighted,935.4,304.69049870319225
diff__pred__lightgbm_v013_no_layout_id_core_holdout_log1p__pred__lightgbm_v014_no_layout_id_core_holdout_tuned_log1p,928.0,396.36977684985015
diff__pred__lightgbm_v013_no_layout_id_core_holdout_log1p__pred__lightgbm_v015_no_layout_id_core_holdout_log1p_adv_weighted,858.4,340.70339006238254
layout_type,827.6,235.66140965376576
pred__lightgbm_v013_no_layout_id_core_holdout_log1p,705.6,208.13168908169655
stack_pred_min,683.0,124.73371637211808
stack_pred_std,679.0,232.4994623649698
pred__lightgbm_v014_no_layout_id_core_holdout_tuned_log1p,611.0,239.29375253023218
stack_pred_max,513.4,217.36674078616537
stack_pred_mean,375.6,128.60520984781294
