feature,importance_mean,importance_std
ctx__pack_utilization_scenario_mean,7086.8,4067.6380984546795
ctx__low_battery_ratio_scenario_delta,2209.6,1657.1968199341925
ctx__manual_override_ratio_scenario_delta,1894.4,1173.0295392700048
ctx__order_inflow_per_pack_station,1796.8,1506.8980390192298
ctx__max_zone_density_scenario_delta,1681.8,1174.9917872053404
ctx__congestion_score_scenario_delta,1512.8,976.8322271505992
pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative,1489.4,805.0060869335089
layout_type,1484.6,1002.2558555578511
diff__pred__lightgbm_v022_residual_stack_v005_context_gate__pred__stack_lgb_meta_v005_context_aware,1407.2,1076.706413095046
diff__pred__lightgbm_v022_residual_stack_v005_context_gate__pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative,1124.2,768.6479688387916
ctx__battery_mean,1116.2,1059.734730958649
pred__lightgbm_v029_residual_v021_context_gate,1113.8,564.9160999652958
diff__pred__lightgbm_v029_residual_v021_context_gate__pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative,1065.6,899.2020351400457
diff__pred__lightgbm_v021_no_layout_id_core_holdout_log1p_scenario_relative__pred__stack_lgb_meta_v005_context_aware,1058.6,625.3325515275852
stack_pred_min,972.6,594.9880671072319
pred__lightgbm_v022_residual_stack_v005_context_gate,901.0,562.8956386400591
pred__stack_lgb_meta_v005_context_aware,881.0,586.0337021025326
diff__pred__lightgbm_v029_residual_v021_context_gate__pred__stack_lgb_meta_v005_context_aware,801.2,570.6195755492446
stack_pred_max,761.0,510.64811759175217
diff__pred__lightgbm_v029_residual_v021_context_gate__pred__lightgbm_v022_residual_stack_v005_context_gate,750.4,646.141470577458
ctx__forklift_active_count_scenario_delta,749.4,971.5345078791592
stack_pred_mean,717.4,420.8162306755765
stack_pred_std,709.6,611.4505703652585
ctx__battery_mean_scenario_delta,686.6,766.8372056701475
ctx__pack_utilization_scenario_delta,668.8,753.7033235962277
ctx__order_inflow_15m_scenario_delta,620.8,646.5320564364926
ctx__avg_trip_distance_scenario_delta,438.2,620.5857716706048
ctx__loading_dock_util_scenario_delta,367.6,550.2061431863516
ctx__shift_handover_delay_min_scenario_delta,363.8,560.0881180671485
