epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.382745,0.192923,0.165309,0.925,1.0,0.0001
2,0.152508,0.093898,0.058311,0.985,1.0,9.874639560909117e-05
3,0.079089,0.075002,0.040924,1.0,1.0,9.504844339512095e-05
4,0.062693,0.071338,0.037522,1.0,1.0,8.90915741234015e-05
5,0.058945,0.064544,0.028554,1.0,1.0,8.117449009293668e-05
6,0.057489,0.063833,0.027745,1.0,1.0,7.169418695587791e-05
7,0.058033,0.064077,0.028206,1.0,1.0,6.112604669781572e-05
8,0.05642,0.063281,0.02673,1.0,1.0,5e-05
9,0.056412,0.062835,0.026292,1.0,1.0,3.887395330218429e-05
10,0.056421,0.063799,0.02709,1.0,1.0,2.8305813044122097e-05
11,0.056342,0.062429,0.025536,1.0,1.0,1.8825509907063327e-05
12,0.056313,0.061536,0.024232,1.0,1.0,1.0908425876598516e-05
13,0.056334,0.062995,0.026625,1.0,1.0,4.951556604879048e-06
14,0.05629,0.062511,0.025668,1.0,1.0,1.2536043909088191e-06
15,0.056683,0.062773,0.026192,1.0,1.0,0.0
