id,label,fold,seed,model_name,raw_logit,prob
TRAIN_0002,1,0,42,efficientnetv2_m_384_baseline,3.8574219,0.97931457
TRAIN_0003,1,0,42,efficientnetv2_m_384_baseline,3.8535156,0.97923523
TRAIN_0005,0,0,42,efficientnetv2_m_384_baseline,-3.9589844,0.018725162
TRAIN_0009,1,0,42,efficientnetv2_m_384_baseline,3.9121094,0.98039377
TRAIN_0014,1,0,42,efficientnetv2_m_384_baseline,4.03125,0.9825575
TRAIN_0044,1,0,42,efficientnetv2_m_384_baseline,3.9902344,0.98184055
TRAIN_0046,0,0,42,efficientnetv2_m_384_baseline,-3.8339844,0.021165619
TRAIN_0047,1,0,42,efficientnetv2_m_384_baseline,3.6484375,0.97462875
TRAIN_0071,0,0,42,efficientnetv2_m_384_baseline,-4.0664062,0.016850082
TRAIN_0073,1,0,42,efficientnetv2_m_384_baseline,3.7460938,0.9769348
TRAIN_0074,1,0,42,efficientnetv2_m_384_baseline,3.9707031,0.9814889
TRAIN_0079,1,0,42,efficientnetv2_m_384_baseline,4.03125,0.9825575
TRAIN_0084,0,0,42,efficientnetv2_m_384_baseline,-3.9042969,0.019756919
TRAIN_0089,1,0,42,efficientnetv2_m_384_baseline,3.921875,0.9805807
TRAIN_0091,0,0,42,efficientnetv2_m_384_baseline,-3.8398438,0.021044565
TRAIN_0092,0,0,42,efficientnetv2_m_384_baseline,-3.9609375,0.01868931
TRAIN_0094,0,0,42,efficientnetv2_m_384_baseline,-3.9355469,0.019160708
TRAIN_0095,1,0,42,efficientnetv2_m_384_baseline,3.6992188,0.9758546
TRAIN_0103,1,0,42,efficientnetv2_m_384_baseline,3.9277344,0.9806919
TRAIN_0104,0,0,42,efficientnetv2_m_384_baseline,-3.9824219,0.018299334
TRAIN_0108,1,0,42,efficientnetv2_m_384_baseline,3.84375,0.97903574
TRAIN_0115,0,0,42,efficientnetv2_m_384_baseline,-3.9550781,0.018797072
TRAIN_0117,0,0,42,efficientnetv2_m_384_baseline,-3.9882812,0.018194366
TRAIN_0118,1,0,42,efficientnetv2_m_384_baseline,3.90625,0.9802808
TRAIN_0131,1,0,42,efficientnetv2_m_384_baseline,4.0703125,0.9832145
TRAIN_0133,0,0,42,efficientnetv2_m_384_baseline,-4.0234375,0.01757688
TRAIN_0160,1,0,42,efficientnetv2_m_384_baseline,3.6445312,0.9745319
TRAIN_0161,1,0,42,efficientnetv2_m_384_baseline,3.9140625,0.9804314
TRAIN_0162,1,0,42,efficientnetv2_m_384_baseline,3.6757812,0.97529614
TRAIN_0167,0,0,42,efficientnetv2_m_384_baseline,-3.8710938,0.02041031
TRAIN_0170,0,0,42,efficientnetv2_m_384_baseline,-3.9882812,0.018194366
TRAIN_0171,0,0,42,efficientnetv2_m_384_baseline,-4.0390625,0.017309094
TRAIN_0176,0,0,42,efficientnetv2_m_384_baseline,-3.9941406,0.018089995
TRAIN_0177,0,0,42,efficientnetv2_m_384_baseline,-3.8847656,0.020138742
TRAIN_0185,1,0,42,efficientnetv2_m_384_baseline,4.046875,0.98282325
TRAIN_0188,0,0,42,efficientnetv2_m_384_baseline,-3.8691406,0.020449394
